date,hour,price_eur_per_mwh,is_negative_price,negative_price_duration,is_green_energy
2013-01-07,1,34.96,0,0,0
2013-01-07,2,33.7,0,0,0
2013-01-07,3,33.12,0,0,0
2013-01-07,4,33.26,0,0,0
2013-01-07,5,32.175,0,0,0
2013-01-07,6,32.885,0,0,0
2013-01-07,7,43.565,0,0,0
2013-01-07,8,61.99,0,0,0
2013-01-07,9,63.74,0,0,0
2013-01-07,10,64.94,0,0,0
2013-01-07,11,64.19,0,0,0
2013-01-07,12,64.0,0,0,0
2013-01-07,13,63.52,0,0,0
2013-01-07,14,62.65,0,0,0
2013-01-07,15,62.63,0,0,0
2013-01-07,16,60.96,0,0,0
2013-01-07,17,60.84,0,0,0
2013-01-07,18,71.47,0,0,0
2013-01-07,19,49.04,0,0,0
2013-01-07,20,39.14,0,0,0
2013-01-07,21,38.05,0,0,0
2013-01-07,22,37.45,0,0,0
2013-01-07,23,36.49,0,0,0
2013-01-07,24,35.55,0,0,0
2013-01-08,1,35.44,0,0,0
2013-01-08,2,35.01,0,0,0
2013-01-08,3,34.83,0,0,0
2013-01-08,4,34.84,0,0,0
2013-01-08,5,35.21,0,0,0
2013-01-08,6,36.305,0,0,0
2013-01-08,7,39.43,0,0,0
2013-01-08,8,49.62,0,0,0
2013-01-08,9,52.13,0,0,0
2013-01-08,10,52.29,0,0,0
2013-01-08,11,52.33,0,0,0
2013-01-08,12,52.31,0,0,0
2013-01-08,13,49.79,0,0,0
2013-01-08,14,52.31,0,0,0
2013-01-08,15,49.72,0,0,0
2013-01-08,16,49.62,0,0,0
2013-01-08,17,54.48,0,0,0
2013-01-08,18,68.92,0,0,0
2013-01-08,19,66.28,0,0,0
2013-01-08,20,52.34,0,0,0
2013-01-08,21,46.53,0,0,0
2013-01-08,22,39.31,0,0,0
2013-01-08,23,38.21,0,0,0
2013-01-08,24,36.12,0,0,0
2013-01-09,1,36.47,0,0,0
2013-01-09,2,35.9,0,0,0
2013-01-09,3,35.4,0,0,0
2013-01-09,4,35.73,0,0,0
2013-01-09,5,35.91,0,0,0
2013-01-09,6,37.27,0,0,0
2013-01-09,7,39.4,0,0,0
2013-01-09,8,42.84,0,0,0
2013-01-09,9,44.93,0,0,0
2013-01-09,10,42.84,0,0,0
2013-01-09,11,41.61,0,0,0
2013-01-09,12,41.07,0,0,0
2013-01-09,13,40.75,0,0,0
2013-01-09,14,41.6,0,0,0
2013-01-09,15,40.96,0,0,0
2013-01-09,16,41.69,0,0,0
2013-01-09,17,44.43,0,0,0
2013-01-09,18,44.19,0,0,0
2013-01-09,19,42.24,0,0,0
2013-01-09,20,40.14,0,0,0
2013-01-09,21,39.03,0,0,0
2013-01-09,22,37.95,0,0,0
2013-01-09,23,36.724999999999994,0,0,0
2013-01-09,24,35.205,0,0,0
2013-01-10,1,34.89,0,0,0
2013-01-10,2,34.38,0,0,0
2013-01-10,3,32.97,0,0,0
2013-01-10,4,33.26,0,0,0
2013-01-10,5,34.06,0,0,0
2013-01-10,6,35.495,0,0,0
2013-01-10,7,38.485,0,0,0
2013-01-10,8,47.72,0,0,0
2013-01-10,9,45.59,0,0,0
2013-01-10,10,43.61,0,0,0
2013-01-10,11,42.49,0,0,0
2013-01-10,12,42.32,0,0,0
2013-01-10,13,42.44,0,0,0
2013-01-10,14,43.31,0,0,0
2013-01-10,15,44.46,0,0,0
2013-01-10,16,45.78,0,0,0
2013-01-10,17,51.64,0,0,0
2013-01-10,18,52.03,0,0,0
2013-01-10,19,44.14,0,0,0
2013-01-10,20,41.95,0,0,0
2013-01-10,21,40.51,0,0,0
2013-01-10,22,39.69,0,0,0
2013-01-10,23,38.79,0,0,0
2013-01-10,24,37.34,0,0,0
2013-01-11,1,37.0,0,0,0
2013-01-11,2,36.14,0,0,0
2013-01-11,3,35.78,0,0,0
2013-01-11,4,35.31,0,0,0
2013-01-11,5,35.4,0,0,0
2013-01-11,6,38.1,0,0,0
2013-01-11,7,40.64,0,0,0
2013-01-11,8,48.12,0,0,0
2013-01-11,9,54.93,0,0,0
2013-01-11,10,48.59,0,0,0
2013-01-11,11,46.8,0,0,0
2013-01-11,12,44.94,0,0,0
2013-01-11,13,44.77,0,0,0
2013-01-11,14,44.03,0,0,0
2013-01-11,15,45.15,0,0,0
2013-01-11,16,45.61,0,0,0
2013-01-11,17,52.68,0,0,0
2013-01-11,18,54.03,0,0,0
2013-01-11,19,45.29,0,0,0
2013-01-11,20,42.5,0,0,0
2013-01-11,21,40.47,0,0,0
2013-01-11,22,39.64,0,0,0
2013-01-11,23,38.84,0,0,0
2013-01-11,24,37.64,0,0,0
2013-01-12,1,37.94,0,0,0
2013-01-12,2,37.52,0,0,0
2013-01-12,3,36.9,0,0,0
2013-01-12,4,36.98,0,0,0
2013-01-12,5,36.86,0,0,0
2013-01-12,6,37.24,0,0,0
2013-01-12,7,37.9,0,0,0
2013-01-12,8,38.62,0,0,0
2013-01-12,9,39.27,0,0,0
2013-01-12,10,40.51,0,0,0
2013-01-12,11,41.22,0,0,0
2013-01-12,12,41.5,0,0,0
2013-01-12,13,41.23,0,0,0
2013-01-12,14,40.95,0,0,0
2013-01-12,15,40.95,0,0,0
2013-01-12,16,43.17,0,0,0
2013-01-12,17,46.98,0,0,0
2013-01-12,18,57.02,0,0,0
2013-01-12,19,64.93,0,0,0
2013-01-12,20,42.67,0,0,0
2013-01-12,21,40.74,0,0,0
2013-01-12,22,39.81,0,0,0
2013-01-12,23,39.54,0,0,0
2013-01-12,24,38.03,0,0,0
2013-01-13,1,38.69,0,0,0
2013-01-13,2,38.36,0,0,0
2013-01-13,3,37.9,0,0,0
2013-01-13,4,36.81,0,0,0
2013-01-13,5,36.87,0,0,0
2013-01-13,6,37.35,0,0,0
2013-01-13,7,37.29,0,0,0
2013-01-13,8,37.68,0,0,0
2013-01-13,9,37.82,0,0,0
2013-01-13,10,38.46,0,0,0
2013-01-13,11,39.12,0,0,0
2013-01-13,12,39.75,0,0,0
2013-01-13,13,39.55,0,0,0
2013-01-13,14,39.05,0,0,0
2013-01-13,15,38.97,0,0,0
2013-01-13,16,39.5,0,0,0
2013-01-13,17,40.39,0,0,0
2013-01-13,18,44.38,0,0,0
2013-01-13,19,47.73,0,0,0
2013-01-13,20,44.9,0,0,0
2013-01-13,21,40.63,0,0,0
2013-01-13,22,39.64,0,0,0
2013-01-13,23,39.66,0,0,0
2013-01-13,24,38.02,0,0,0
2013-01-14,1,36.89,0,0,0
2013-01-14,2,36.64,0,0,0
2013-01-14,3,36.61,0,0,0
2013-01-14,4,36.83,0,0,0
2013-01-14,5,37.7,0,0,0
2013-01-14,6,37.644999999999996,0,0,0
2013-01-14,7,43.349999999999994,0,0,0
2013-01-14,8,60.76,0,0,0
2013-01-14,9,62.07,0,0,0
2013-01-14,10,61.99,0,0,0
2013-01-14,11,62.74,0,0,0
2013-01-14,12,63.19,0,0,0
2013-01-14,13,60.34,0,0,0
2013-01-14,14,59.65,0,0,0
2013-01-14,15,57.26,0,0,0
2013-01-14,16,56.56,0,0,0
2013-01-14,17,57.52,0,0,0
2013-01-14,18,70.76,0,0,0
2013-01-14,19,72.1,0,0,0
2013-01-14,20,57.11,0,0,0
2013-01-14,21,43.62,0,0,0
2013-01-14,22,41.65,0,0,0
2013-01-14,23,40.48,0,0,0
2013-01-14,24,38.02,0,0,0
2013-01-15,1,38.74,0,0,0
2013-01-15,2,37.79,0,0,0
2013-01-15,3,36.92,0,0,0
2013-01-15,4,37.91,0,0,0
2013-01-15,5,38.32,0,0,0
2013-01-15,6,38.68,0,0,0
2013-01-15,7,43.415,0,0,0
2013-01-15,8,62.25,0,0,0
2013-01-15,9,64.4,0,0,0
2013-01-15,10,63.2,0,0,0
2013-01-15,11,62.52,0,0,0
2013-01-15,12,54.88,0,0,0
2013-01-15,13,51.48,0,0,0
2013-01-15,14,56.49,0,0,0
2013-01-15,15,58.89,0,0,0
2013-01-15,16,61.67,0,0,0
2013-01-15,17,64.49,0,0,0
2013-01-15,18,70.92,0,0,0
2013-01-15,19,55.85,0,0,0
2013-01-15,20,47.23,0,0,0
2013-01-15,21,43.38,0,0,0
2013-01-15,22,41.71,0,0,0
2013-01-15,23,40.55,0,0,0
2013-01-15,24,38.82,0,0,0
2013-01-16,1,39.0,0,0,0
2013-01-16,2,37.99,0,0,0
2013-01-16,3,37.38,0,0,0
2013-01-16,4,37.96,0,0,0
2013-01-16,5,38.44,0,0,0
2013-01-16,6,39.59,0,0,0
2013-01-16,7,45.254999999999995,0,0,0
2013-01-16,8,62.85,0,0,0
2013-01-16,9,68.2,0,0,0
2013-01-16,10,72.15,0,0,0
2013-01-16,11,72.31,0,0,0
2013-01-16,12,52.7,0,0,0
2013-01-16,13,57.98,0,0,0
2013-01-16,14,63.48,0,0,0
2013-01-16,15,58.63,0,0,0
2013-01-16,16,57.98,0,0,0
2013-01-16,17,58.92,0,0,0
2013-01-16,18,69.93,0,0,0
2013-01-16,19,60.04,0,0,0
2013-01-16,20,50.58,0,0,0
2013-01-16,21,43.1,0,0,0
2013-01-16,22,41.89,0,0,0
2013-01-16,23,40.925,0,0,0
2013-01-16,24,38.355000000000004,0,0,0
2013-01-17,1,39.41,0,0,0
2013-01-17,2,39.03,0,0,0
2013-01-17,3,38.93,0,0,0
2013-01-17,4,39.23,0,0,0
2013-01-17,5,39.65,0,0,0
2013-01-17,6,40.69,0,0,0
2013-01-17,7,43.82,0,0,0
2013-01-17,8,61.58,0,0,0
2013-01-17,9,62.42,0,0,0
2013-01-17,10,59.92,0,0,0
2013-01-17,11,58.14,0,0,0
2013-01-17,12,57.88,0,0,0
2013-01-17,13,58.52,0,0,0
2013-01-17,14,62.62,0,0,0
2013-01-17,15,61.91,0,0,0
2013-01-17,16,61.94,0,0,0
2013-01-17,17,62.3,0,0,0
2013-01-17,18,72.83,0,0,0
2013-01-17,19,86.07,0,0,0
2013-01-17,20,61.3,0,0,0
2013-01-17,21,48.66,0,0,0
2013-01-17,22,45.96,0,0,0
2013-01-17,23,42.795,0,0,0
2013-01-17,24,39.925,0,0,0
2013-01-18,1,39.76,0,0,0
2013-01-18,2,38.91,0,0,0
2013-01-18,3,38.62,0,0,0
2013-01-18,4,39.01,0,0,0
2013-01-18,5,39.21,0,0,0
2013-01-18,6,39.245000000000005,0,0,0
2013-01-18,7,46.035,0,0,0
2013-01-18,8,62.44,0,0,0
2013-01-18,9,66.56,0,0,0
2013-01-18,10,64.95,0,0,0
2013-01-18,11,61.25,0,0,0
2013-01-18,12,49.93,0,0,0
2013-01-18,13,48.41,0,0,0
2013-01-18,14,47.18,0,0,0
2013-01-18,15,47.33,0,0,0
2013-01-18,16,47.97,0,0,0
2013-01-18,17,54.6,0,0,0
2013-01-18,18,62.2,0,0,0
2013-01-18,19,51.88,0,0,0
2013-01-18,20,44.16,0,0,0
2013-01-18,21,41.97,0,0,0
2013-01-18,22,40.43,0,0,0
2013-01-18,23,39.19,0,0,0
2013-01-18,24,38.69,0,0,0
2013-01-19,1,33.79,0,0,0
2013-01-19,2,33.68,0,0,0
2013-01-19,3,32.79,0,0,0
2013-01-19,4,32.86,0,0,0
2013-01-19,5,32.41,0,0,0
2013-01-19,6,32.5,0,0,0
2013-01-19,7,31.75,0,0,0
2013-01-19,8,37.69,0,0,0
2013-01-19,9,38.455,0,0,0
2013-01-19,10,41.144999999999996,0,0,0
2013-01-19,11,41.56,0,0,0
2013-01-19,12,41.93,0,0,0
2013-01-19,13,41.6,0,0,0
2013-01-19,14,41.01,0,0,0
2013-01-19,15,40.09,0,0,0
2013-01-19,16,40.23,0,0,0
2013-01-19,17,41.7,0,0,0
2013-01-19,18,48.63,0,0,0
2013-01-19,19,46.29,0,0,0
2013-01-19,20,42.84,0,0,0
2013-01-19,21,38.995000000000005,0,0,0
2013-01-19,22,39.0,0,0,0
2013-01-19,23,38.46,0,0,0
2013-01-19,24,36.95,0,0,0
2013-01-20,1,35.89,0,0,0
2013-01-20,2,32.6,0,0,0
2013-01-20,3,31.22,0,0,0
2013-01-20,4,30.41,0,0,0
2013-01-20,5,30.26,0,0,0
2013-01-20,6,29.85,0,0,0
2013-01-20,7,35.79,0,0,0
2013-01-20,8,37.06,0,0,0
